Log v2.1,Actor,Pilot,Unit,Target,Pilot,Unit,Combat Id,Round,Phase,Attack Id,Direction,Range,Weapon,Weapon Template,Weapon Id,Hit Roll,Corrected,Streak,Final,Hit%,Location Roll,Head,CT,LT,RT,LA,RA,LL,RL,Called Part,Called Multiplier,Hit Location,Damage,Stops At,From Armor,To Armor,From HP,To HP,Max HP,Crit Roll,Base Crit%,Crit Multiplier,Crit%,Slot Roll,Crit Slot,Crit Equipment,From State,To State
2019-05-04T12:25:34,Player,Numbers,Hunchback,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,6h/H2+EuHpLcoEF74fc0uel8JO/KIevY,FromFront,354.1465,Mortar/1(AOE),Weapon_MECHMORTAR_1,39,0.1935401,0.2406823,0,0.2406823,0.575,0.2007649,1024,16384,14336,14336,10240,10240,8192,8192,None,0,CenterTorso,4.8,CenterTorso,12.5,7.7,40,40,12.5,0,-0.1928,0,0,--,--,(No Crit),--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,LBX AC/10(Cluster),Weapon_Autocannon_LB10XAC,34,0.1145461,0.1522664,0,0.1522664,0.55,0.6818163,1024,16384,14336,14336,10240,10240,8192,8192,None,0,RightArm,3.763637,LeftTorso,10,6.236363,30,30,--,--,--,--,--,--,--,--,--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,M Laser,Weapon_Laser_MediumLaser_0-STOCK,30,0.5028663,0.5021498,0,0.5021498,0.35,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,M Laser,Weapon_Laser_MediumLaser_0-STOCK,29,0.1908981,0.237932,0,0.237932,0.35,0.6451781,1024,16384,14336,14336,10240,10240,8192,8192,None,0,LeftArm,3.763637,CenterTorso,7.7,3.936363,40,40,--,--,--,--,--,--,--,--,--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,25,0.9396666,0.9167802,0,0.9167802,0.5,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,25,0.4794084,0.4845473,0,0.4845473,0.5,0.3612268,1024,16384,14336,14336,10240,10240,8192,8192,None,0,LeftTorso,3.763637,RightArm,8.75,4.986363,20,20,--,--,--,--,--,--,--,--,--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,25,0.1410221,0.1833966,0,0.1833966,0.5,0.6185433,0,65536,114688,14336,40960,10240,32768,8192,None,0,LeftTorso,3.763637,CenterTorso,3.936363,0.1727266,40,40,--,--,--,--,--,--,--,--,--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,25,0.867557,0.8265159,0,0.8265159,0.5,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,25,0.1900824,0.2370802,0,0.2370802,0.5,0.4733197,0,65536,114688,14336,40960,10240,32768,8192,None,0,LeftTorso,3.763637,LeftTorso,6.236363,2.472727,30,30,--,--,--,--,--,--,--,--,--,--
2019-05-04T12:25:58,Player,Shiv,Centurion,OpFor,Defender,Commando,+Vd0r7HhAs2KrTBjKt8GfHb86CZCPN5I,2,3,95yWbiURGx2VGap9BD6MXypFkru1+Nqg,FromFront,209.2669,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,25,0.6845364,0.6448373,0,0.6448373,0.5,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
