Log v2.1,Actor,Pilot,Unit,Target,Pilot,Unit,Combat Id,Round,Phase,Attack Id,Direction,Range,Weapon,Weapon Template,Weapon Id,Hit Roll,Corrected,Streak,Final,Hit%,Location Roll,Head,CT,LT,RT,LA,RA,LL,RL,Called Part,Called Multiplier,Hit Location,Damage,Stops At,From Armor,To Armor,From HP,To HP,Max HP,Crit Roll,Base Crit%,Crit Multiplier,Crit%,Slot Roll,Crit Slot,Crit Equipment,From State,To State
2019-05-09T18:44:02,Player,Buckshot,JagerMech II,OpFor,Witness,Commando,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,TSGLLIv0waGG/MCD7YPA3Pvr+MTSDkWZ,FromFront,299.9806,Rotary AC/5(Normal)(x1),Weapon_Autocannon_RAC5_0-Mydron,33,0.8797832,0.8409302,0,0.8409302,0.25,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:44:02,Player,Buckshot,JagerMech II,OpFor,Witness,Commando,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,TSGLLIv0waGG/MCD7YPA3Pvr+MTSDkWZ,FromFront,299.9806,Rotary AC/5(Normal)(x1),Weapon_Autocannon_RAC5_0-Mydron,23,0.5557989,0.5420271,0,0.5420271,0.25,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:44:55,Player,Blockade,Catapult,NPC,Medium Military Building,Medium Military Building,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,eh9XKjLnbPhQ6EAvSXE27AvPAa2VB+Ag,FromFront,330.1235,Arrow IV(Normal),Weapon_ArrowIV,35,0.4006897,0.4245143,0,0.4245143,0.8,0.7828392,1,--,--,--,--,--,--,--,None,2,Structure,60.19981,Structure,0,0,150,89.80019,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:07,OpFor,Kraken,Kintaro,Player,Buckshot,JagerMech II,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,cdlsqNxeLcRYum7QvKMd5JcdWv26YrjQ,FromFront,416.448,LRM5(Normal),Weapon_LRM_LRM5_0-STOCK,24,0.9562578,0.9394525,0,0.9394525,0.3,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:07,OpFor,Kraken,Kintaro,Player,Buckshot,JagerMech II,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,cdlsqNxeLcRYum7QvKMd5JcdWv26YrjQ,FromFront,416.448,LRM5(Normal),Weapon_LRM_LRM5_0-STOCK,24,0.3400181,0.3758207,0,0.3758207,0.3,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:07,OpFor,Kraken,Kintaro,Player,Buckshot,JagerMech II,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,cdlsqNxeLcRYum7QvKMd5JcdWv26YrjQ,FromFront,416.448,LRM5(Normal),Weapon_LRM_LRM5_0-STOCK,24,0.8403357,0.7956184,0,0.7956184,0.3,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:07,OpFor,Kraken,Kintaro,Player,Buckshot,JagerMech II,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,cdlsqNxeLcRYum7QvKMd5JcdWv26YrjQ,FromFront,416.448,LRM5(Normal),Weapon_LRM_LRM5_0-STOCK,24,0.7785581,0.731052,0,0.731052,0.3,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:07,OpFor,Kraken,Kintaro,Player,Buckshot,JagerMech II,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,cdlsqNxeLcRYum7QvKMd5JcdWv26YrjQ,FromFront,416.448,LRM5(Normal),Weapon_LRM_LRM5_0-STOCK,24,0.7811469,0.7336164,0,0.7336164,0.3,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:33,Player,Apex,Corsair,OpFor,Kraken,Kintaro,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,gKjURdydrbbGnLtiK8nba1Ej1Eu21DQ7,FromFront,519.7759,PPC,Weapon_PPC_PPC_0-STOCK,39,0.4306563,0.4476508,0,0.4476508,0.325,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:33,Player,Apex,Corsair,OpFor,Kraken,Kintaro,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,gKjURdydrbbGnLtiK8nba1Ej1Eu21DQ7,FromFront,519.7759,AC/5(Normal),Weapon_Autocannon_AC5_0-STOCK,31,0.7376125,0.6919469,0,0.6919469,0.325,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:33,Player,Apex,Corsair,OpFor,Kraken,Kintaro,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,gKjURdydrbbGnLtiK8nba1Ej1Eu21DQ7,FromFront,519.7759,AC/5(Normal),Weapon_Autocannon_AC5_0-STOCK,20,0.05815272,0.08028285,0,0.08028285,0.325,0.09080102,1024,16384,14336,14336,10240,10240,8192,8192,None,0,CenterTorso,22.61578,CenterTorso,130,85,90,90,--,--,--,--,--,--,--,--,--,--
2019-05-09T18:45:48,OpFor,Paradise,Quickdraw,Player,Buckshot,JagerMech II,vaijr/8GFFTRo+xcq1BqmfDxgkDuuPva,2,5,TljZTytDcrsSz+15M2Tp7GlL+3DsSbBb,FromFront,439.9491,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,25,0.8182881,0.7717348,0,0.7717348,0.01,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
