itemCollection_loot_SpareParts,Mech Spare Parts,Mech Spare Parts,
Weapon_Autocannon_AC2_0-STOCK,Weapon,2,1
Ammo_AmmunitionBox_Generic_AC2,AmmunitionBox,1,1
Weapon_Autocannon_AC5_0-STOCK,Weapon,1,10000
Ammo_AmmunitionBox_Generic_AC5,AmmunitionBox,1,1
Weapon_Laser_LargeLaser_0-STOCK,Weapon,1,10000
Weapon_Laser_MediumLaser_0-STOCK,Weapon,2,1
Weapon_Laser_SmallLaser_0-STOCK,Weapon,2,1
Weapon_LRM_LRM5_0-STOCK,Weapon,2,1
Weapon_LRM_LRM10_0-STOCK,Weapon,1,10000
Ammo_AmmunitionBox_Generic_LRM,AmmunitionBox,2,1
Weapon_MachineGun_MachineGun_0-STOCK,Weapon,2,1
Ammo_AmmunitionBox_Generic_MG,AmmunitionBox,1,1
Weapon_SRM_SRM2_0-STOCK,Weapon,2,1
Weapon_SRM_SRM4_0-STOCK,Weapon,1,10000
Ammo_AmmunitionBox_Generic_SRM,AmmunitionBox,2,1
Gear_HeatSink_Generic_Standard,HeatSink,6,1
Gear_JumpJet_Generic_Standard,JumpJet,4,1
emod_arm_part_hand,Upgrade,4,1
emod_arm_part_lower,Upgrade,4,1
Weapon_SRM_SRM2_BA_OS,Weapon,4,1
Weapon_Laser_SmallLaser_BA,Weapon,4,1
Weapon_MachineGun_MachineGun_BA,Weapon,4,1
Weapon_SRM_SRM4_BA_OS,Weapon,4,1
Weapon_PPC_Support_BA,Weapon,4,1
