Log v2.1,Actor,Pilot,Unit,Target,Pilot,Unit,Combat Id,Round,Phase,Attack Id,Direction,Range,Weapon,Weapon Template,Weapon Id,Hit Roll,Corrected,Streak,Final,Hit%,Location Roll,Head,CT,LT,RT,LA,RA,LL,RL,Called Part,Called Multiplier,Hit Location,Damage,Stops At,From Armor,To Armor,From HP,To HP,Max HP,Crit Roll,Base Crit%,Crit Multiplier,Crit%,Slot Roll,Crit Slot,Crit Equipment,From State,To State
2019-09-15T22:53:56,Player,Heat Wave,Firestarter,OpFor,Gunner,Missile Carrier,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,2,2,jpPzTnjEVvPaoPw1bREkVZ1qpNjw4iOa,FromFront,342.8428,M Laser,Weapon_Laser_MediumLaser_0-STOCK,24,0.6887804,0.6484746,0,0.6484746,0.99,0.8341373,5120,20480,16384,16384,0,--,--,--,None,0,Right,160,Right,59.5,0,60,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:53:56,Player,Heat Wave,Firestarter,OpFor,Gunner,Missile Carrier,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,2,2,jpPzTnjEVvPaoPw1bREkVZ1qpNjw4iOa,FromFront,342.8428,M Laser,Weapon_Laser_MediumLaser_0-STOCK,37,0.3472887,0.3818197,0,0.3818197,0.99,0.7595112,5120,20480,16384,16384,0,--,--,--,None,0,Right,160,Right,0,0,0,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:54:12,Player,Sea Witch,Wasp,OpFor,Gunner,Hunter Light Support Tank,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,2,2,HAhsfKExVaxvWRexGoRl+PDdLHfQgSjj,FromRight,234.1987,M Pulse,Weapon_Laser_MediumLaserPulse_0-STOCK,23,0.8092691,0.7622426,0,0.7622426,0.99,0.1348004,5120,20480,0,32768,0,--,--,--,None,0,Front,800,Front,136,0,40,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:54:35,Player,Harpo,Hunchback,OpFor,Gunner,Gun Carrier,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,2,3,ybPQ+8g29ZVOebaFdTR92J+UMtOh79eE,FromFront,216.1509,AC/20(Normal),Weapon_Autocannon_AC20_0-STOCK,32,0.7940515,0.7465743,0,0.7465743,0.99,0.04257001,5120,20480,16384,16384,0,--,--,--,None,0,Turret,800,Turret,51,0,60,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:54:35,Player,Harpo,Hunchback,OpFor,Gunner,Gun Carrier,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,2,3,ybPQ+8g29ZVOebaFdTR92J+UMtOh79eE,FromFront,216.1509,M Laser,Weapon_Laser_MediumLaser_0-STOCK,26,0.3098932,0.3503844,0,0.3503844,0.99,0.8376045,5120,20480,16384,16384,0,--,--,--,None,0,Right,160,Right,63.75,0,60,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:54:35,Player,Harpo,Hunchback,OpFor,Gunner,Gun Carrier,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,2,3,ybPQ+8g29ZVOebaFdTR92J+UMtOh79eE,FromFront,216.1509,M Laser,Weapon_Laser_MediumLaser_0-STOCK,33,0.8834403,0.8453091,0,0.8453091,0.99,0.5515,5120,20480,16384,16384,0,--,--,--,None,0,Left,160,Left,63.75,0,60,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:55:01,Player,Heat Wave,Firestarter,OpFor,Gunner,Missile Carrier,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,3,2,jyH8x3QAYJrgiLLuYFrjOWSCYqDN34K8,FromFront,272.8209,M Laser,Weapon_Laser_MediumLaser_0-STOCK,24,0.662507,0.6262748,0,0.6262748,0.99,0.1655248,5120,20480,16384,16384,0,--,--,--,None,0,Front,200,Front,59.5,0,60,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:55:01,Player,Heat Wave,Firestarter,OpFor,Gunner,Missile Carrier,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,3,2,jyH8x3QAYJrgiLLuYFrjOWSCYqDN34K8,FromFront,272.8209,M Laser,Weapon_Laser_MediumLaser_0-STOCK,37,0.6246815,0.5954959,0,0.5954959,0.99,0.2924929,5120,20480,16384,16384,0,--,--,--,None,0,Front,200,Front,0,0,0,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:55:50,OpFor,Recruit,Phoenix Hawk,Player,Drake,Dervish,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,3,4,YFPYPE5VQdrbTGunOi4gThgbpeyBj3dE,FromFront,230.9709,L Laser,Weapon_Laser_LargeLaser_0-STOCK,34,0.4191066,0.4387879,0,0.4387879,0.35,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:55:50,OpFor,Recruit,Phoenix Hawk,Player,Drake,Dervish,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,3,4,YFPYPE5VQdrbTGunOi4gThgbpeyBj3dE,FromFront,230.9709,M Laser,Weapon_Laser_MediumLaser_0-STOCK,24,0.2195391,0.2670642,0,0.2670642,0.225,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:56:23,Player,Heat Wave,Firestarter,OpFor,Recruit,Wolfhound,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,2,sPluH4w2tq+eP2YhJyRMikbXEhTuO/82,FromFront,209.4512,M Laser,Weapon_Laser_MediumLaser_0-STOCK,24,0.802075,0.754782,0,0.754782,0.99,0.6393864,1024,16384,14336,14336,10240,10240,8192,8192,None,0,LeftArm,200,CenterTorso,80,65,55,55,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:56:23,Player,Heat Wave,Firestarter,OpFor,Recruit,Wolfhound,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,2,sPluH4w2tq+eP2YhJyRMikbXEhTuO/82,FromFront,209.4512,M Laser,Weapon_Laser_MediumLaser_0-STOCK,37,0.2440499,0.2908676,0,0.2908676,0.99,0.9141077,1024,16384,14336,14336,10240,10240,8192,8192,None,0,RightLeg,200,RightTorso,55,0,40,15,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:56:53,Player,Sea Witch,Wasp,OpFor,Recruit,Wolfhound,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,2,YhSIsTqWOtDbk4tV5iJNpZW8CfrH/ibz,ToProne,180.5589,M Pulse,Weapon_Laser_MediumLaserPulse_0-STOCK,23,0.1278679,0.1681304,0,0.1681304,0.99,0.7510111,1024,131072,65536,65536,8192,8192,8192,8192,Head,8,RightTorso,250,CenterTorso,65,0,55,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:05,OpFor,Recruit,Phoenix Hawk,Player,Drake,Dervish,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,zxqlqn1jVnT6N7x3rQR1BwSWRZOY9qQj,FromFront,152.4115,L Laser,Weapon_Laser_LargeLaser_0-STOCK,34,0.8500382,0.806447,0,0.806447,0.35,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:05,OpFor,Recruit,Phoenix Hawk,Player,Drake,Dervish,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,zxqlqn1jVnT6N7x3rQR1BwSWRZOY9qQj,FromFront,152.4115,M Laser,Weapon_Laser_MediumLaser_0-STOCK,24,0.7976357,0.7502262,0,0.7502262,0.275,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:20,Player,Drake,Dervish,OpFor,Recruit,Phoenix Hawk,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,iWx+MjIEb2PulOIf8JBSdz0WWq9m1feQ,FromFront,152.4115,M Laser,Weapon_Laser_MediumLaser_0-STOCK,8,0.1907431,0.2377702,0,0.2377702,0.99,0.9020178,1024,65536,57344,57344,10240,10240,8192,8192,Head,8,RightArm,200,RightTorso,90,0,55,30,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:20,Player,Drake,Dervish,OpFor,Recruit,Phoenix Hawk,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,iWx+MjIEb2PulOIf8JBSdz0WWq9m1feQ,FromFront,152.4115,M Laser,Weapon_Laser_MediumLaser_0-STOCK,9,0.5003142,0.5002356,0,0.5002356,0.99,0.3944001,1024,65536,57344,57344,10240,10240,8192,8192,Head,8,LeftTorso,200,CenterTorso,115,60,70,70,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:20,Player,Drake,Dervish,OpFor,Recruit,Phoenix Hawk,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,iWx+MjIEb2PulOIf8JBSdz0WWq9m1feQ,FromFront,152.4115,SRM2(Normal),Weapon_SRM_SRM2_0-STOCK,10,0.294259,0.3367763,0,0.3367763,0.99,0.04408756,1024,65536,57344,57344,10240,10240,8192,8192,Head,8,CenterTorso,80,CenterTorso,60,0,70,50,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:20,Player,Drake,Dervish,OpFor,Recruit,Phoenix Hawk,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,iWx+MjIEb2PulOIf8JBSdz0WWq9m1feQ,FromFront,152.4115,SRM2(Normal),Weapon_SRM_SRM2_0-STOCK,10,0.277208,0.321582,0,0.321582,0.99,0.3427108,1024,65536,57344,57344,10240,10240,8192,8192,Head,6,LeftTorso,80,CenterTorso,0,0,50,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:20,Player,Drake,Dervish,OpFor,Recruit,Phoenix Hawk,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,iWx+MjIEb2PulOIf8JBSdz0WWq9m1feQ,FromFront,152.4115,SRM2(Normal),Weapon_SRM_SRM2_0-STOCK,11,0.3449925,0.3799305,0,0.3799305,0.99,0.4900494,1024,65536,57344,57344,10240,10240,8192,8192,Head,8,LeftTorso,80,CenterTorso,0,0,0,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:20,Player,Drake,Dervish,OpFor,Recruit,Phoenix Hawk,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,iWx+MjIEb2PulOIf8JBSdz0WWq9m1feQ,FromFront,152.4115,SRM2(Normal),Weapon_SRM_SRM2_0-STOCK,11,0.7400748,0.6942251,0,0.6942251,0.99,0.3473388,1024,65536,57344,57344,10240,10240,8192,8192,Head,6,LeftTorso,80,CenterTorso,0,0,0,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:20,Player,Drake,Dervish,OpFor,Recruit,Phoenix Hawk,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,iWx+MjIEb2PulOIf8JBSdz0WWq9m1feQ,FromFront,152.4115,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,12,0.2530809,0.299395,0,0.299395,0.99,0.7159019,1024,65536,57344,57344,10240,10240,8192,8192,Head,8,RightTorso,40,CenterTorso,0,0,0,0,--,--,--,--,--,--,--,--,--,--
2019-09-15T22:57:20,Player,Drake,Dervish,OpFor,Recruit,Phoenix Hawk,Nseq0o3isB4J9UCiLbmg8Qj0GeykoHgx,4,3,iWx+MjIEb2PulOIf8JBSdz0WWq9m1feQ,FromFront,152.4115,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,12,0.153708,0.1977577,0,0.1977577,0.99,0.2804378,0,65536,14336,114688,10240,40960,8192,32768,None,0,RightTorso,40,CenterTorso,0,0,0,0,--,--,--,--,--,--,--,--,--,--
