Log v2.1,Actor,Pilot,Unit,Target,Pilot,Unit,Combat Id,Round,Phase,Attack Id,Direction,Range,Weapon,Weapon Template,Weapon Id,Hit Roll,Corrected,Streak,Final,Hit%,Location Roll,Head,CT,LT,RT,LA,RA,LL,RL,Called Part,Called Multiplier,Hit Location,Damage,Stops At,From Armor,To Armor,From HP,To HP,Max HP,Crit Roll,Base Crit%,Crit Multiplier,Crit%,Slot Roll,Crit Slot,Crit Equipment,From State,To State
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.3604417,0.3925479,0,0.3925479,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.5489829,0.5368575,0,0.5368575,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.5581828,0.5438388,0,0.5438388,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.8418996,0.7973503,0,0.7973503,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.2041539,0.2516001,0,0.2516001,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.6522593,0.617809,0,0.617809,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.5939333,0.5712987,0,0.5712987,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.7041847,0.6618556,0,0.6618556,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.09097299,0.1231559,0,0.1231559,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:03,OpFor,Defender,Griffin,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,hPLtdZyhyw70JBD87BN5GYzP9f8RGrgx,FromFront,769.9326,LRM10(Normal),Weapon_LRM_LRM10_0-STOCK,27,0.201001,0.2483786,0,0.2483786,0.05000001,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-09-16T06:52:14,OpFor,Gunner,Drillson,Player,Sea Witch,Wasp,CFedcb/FFTZyzJVSwmyYNfufEwW+mThQ,1,4,PwagSOqyV2k5u2xEBFlOLg7aiR9+J1Yg,FromFront,410.6284,LRM5(Normal),Weapon_LRM_LRM5_0-STOCK,0,0.5418856,0.5314894,0,0.5314894,0.25,--,--,--,--,--,--,--,--,--,--,--,(Miss),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
