BTA_RattlerVictory_Easy_Units,BTA Loot Cache,BTA Item,"This cache contains several items, including at least one BTA item."
mechdef_blackknight_BL-9-KNT,Mech,1,1
mechdef_champion_CHP-3N,Mech,1,1
mechdef_kingcrab_KGC-001,Mech,1,1
mechdef_lancelot_LNC25-04,Mech,1,1
mechdef_shootist_ST-8A,Mech,1,1
mechdef_crockett_CRK-5004-1,Mech,1,1
mechdef_nightstar_NSR-9J,Mech,1,1
mechdef_thug_THG-12E,Mech,1,1
mechdef_phoenixhawk_PHX-HK1,Mech,1,1
mechdef_exterminator_EXT-4C,Mech,1,1
mechdef_tolson_TOL-4N,Mech,1,1
mechdef_decimator_DCI-2X,Mech,1,1
