BTA_List_Furillo,,,
Gear_JumpJet_Generic_Standard,JumpJet,0,10
Gear_B_Pod,Upgrade,0,10
Weapon_Laser_MediumLaser_0-STOCK,Weapon,0,10
Weapon_Laser_MediumLaserPulse_0-STOCK,Weapon,0,10
Weapon_Laser_MediumLaserER_0-STOCK,Weapon,0,10
Weapon_PPC_PPCER_0-STOCK,Weapon,0,10
Weapon_Flamer_Flamer_0-STOCK,Weapon,0,10
Weapon_SRM_SRM6_0-STOCK,Weapon,0,10
Weapon_Autocannon_LB2XAC,Weapon,0,10
Weapon_Autocannon_LB5XAC,Weapon,0,10
Weapon_Autocannon_LB10XAC,Weapon,0,10
Ammo_AmmunitionBox_LBX_CLUSTER_AC2,AmmunitionBox,0,10
Ammo_AmmunitionBox_LBX_CLUSTER_AC5,AmmunitionBox,0,10
Ammo_AmmunitionBox_LBX_CLUSTER_AC10,AmmunitionBox,0,10
Ammo_AmmunitionBox_LBX_SLUG_AC2,AmmunitionBox,0,10
Ammo_AmmunitionBox_LBX_SLUG_AC5,AmmunitionBox,0,10
Ammo_AmmunitionBox_LBX_SLUG_AC10,AmmunitionBox,0,10
mechdef_locust_LCT-3S,Mech,1,10
mechdef_clint_CLNT-5U,Mech,1,10
mechdef_uziel_UZL-2S,Mech,1,10
mechdef_uziel_UZL-3M,Mech,1,10
mechdef_uziel_UZL-3S,Mech,1,10
mechdef_wasp_WSP-3S,Mech,1,10
mechdef_stalker_STK-8S,Mech,1,10
mechdef_scorpion_SCP-12S,Mech,1,10
mechdef_ba_is_standard,Mech,1,10
